Word,Gender,Meaning,Meaning_EN
cravate,Feminin,넥타이,tie
montre,Feminin,시계,watch
horizon,Masculin,지평선,horizon
pantalon,Masculin,바지,pants
meuble,Masculin,가구,furniture
forêt,Feminin,숲,forest
sac,Masculin,가방,bag
jupe,Feminin,치마,skirt
roi,Masculin,왕,king
conseil,Masculin,충고,advice
pain,Masculin,빵,bread
mère,Feminin,어머니,mother
ordinateur,Masculin,컴퓨터,computer
bicyclette,Feminin,자전거,bicycle
joie,Feminin,기쁨,joy
eau,Feminin,물,water
amour,Masculin,사랑,love
folie,Feminin,광기,madness
chaise,Feminin,의자,chair
bureau,Masculin,책상,desk
arbre,Masculin,나무,tree
banane,Feminin,바나나,banana
ananas,Masculin,파인애플,pineapple
ciseau,Masculin,가위,scissors
sommeil,Masculin,잠,sleep
printemps,Masculin,봄,spring
cahier,Masculin,공책,notebook
nez,Masculin,코,nose
neige,Feminin,눈,snow
gentille,Feminin,친절한,kind
blanche,Feminin,흰,white
fou,Masculin,광적인,crazy
lotion,Feminin,로션,lotion
crayon,Masculin,연필,pencil
cils,Masculin,속눈썹,eyelashes
bague,Feminin,반지,ring
bijou,Masculin,보석,jewel
raisin,Masculin,포도,grape
bourse,Feminin,지갑,wallet
silence,Masculin,침묵,silence
belle,Feminin,아름다운,beautiful
beau,Masculin,아름다운,handsome
école,Feminin,초등학교,school
musique,Feminin,음악,music
plat,Masculin,요리,dish
oreiller,Masculin,베개,pillow
poupée,Feminin,인형,doll
jaune,Masculin,노란색,yellow
couleur,Feminin,색깔,color
coq,Masculin,수탉,rooster
poule,Feminin,암탉,hen
joue,Feminin,볼,cheek
peine,Feminin,형벌,pain
table,Feminin,테이블,table
maison,Feminin,집,house
voiture,Feminin,자동차,car
fleur,Feminin,꽃,flower
cuisine,Feminin,주방,kitchen
pomme,Feminin,사과,apple
rue,Feminin,거리,street
main,Feminin,손,hand
voix,Feminin,목소리,voice
plage,Feminin,해변,beach
montagne,Feminin,산,mountain
porte,Feminin,문,door
peau,Feminin,피부,skin
dent,Feminin,치아,tooth
chance,Feminin,운,luck
pluie,Feminin,비,rain
nuit,Feminin,밤,night
terre,Feminin,땅,earth
paix,Feminin,평화,peace
guerre,Feminin,전쟁,war
route,Feminin,길,road
liberté,Feminin,자유,freedom
scène,Feminin,무대,scene
santé,Feminin,건강,health
soif,Feminin,갈증,thirst
loi,Feminin,법,law
tête,Feminin,머리,head
patience,Feminin,인내,patience
science,Feminin,과학,science
livre,Masculin,책,book
stylo,Masculin,펜,pen
